bin_low_edge,contents,binerror,xtitle,binlabel
70.5,0.0,0.0,,
71.5,0.0,0.1533195,,
72.5,0.0,0.1533195,,
73.5,0.0,0.1533195,,
74.5,0.0,0.1533195,,
75.5,0.0,0.1533195,,
76.5,0.0,0.1533195,,
77.5,0.0,0.1533195,,
78.5,0.0,0.1533195,,
79.5,0.0,0.1533195,,
80.5,0.0,0.1533195,,
81.5,0.0,0.1533195,,
82.5,0.0,0.1533195,,
83.5,0.0,0.1533195,,
84.5,0.5,0.240851,,
85.5,0.0,0.1533195,,
86.5,0.0,0.1533195,,
87.5,0.0,0.1533195,,
88.5,0.0,0.1533195,,
89.5,0.0,0.1533195,,
90.5,0.0,0.1533195,,
91.5,0.0,0.1533195,,
92.5,0.5,0.240851,,
93.5,0.0,0.1533195,,
94.5,0.0,0.1533195,,
95.5,0.0,0.1533195,,
96.5,0.0,0.1533195,,
97.5,0.0,0.1533195,,
98.5,0.0,0.1533195,,
99.5,0.0,0.1533195,,
100.5,0.0,0.1533195,,
101.5,0.0,0.1533195,,
102.5,0.0,0.1533195,,
103.5,0.0,0.1533195,,
104.5,0.0,0.1533195,,
105.5,0.0,0.1533195,,
106.5,0.0,0.1533195,,
107.5,0.0,0.1533195,,
108.5,0.5,0.240851,,
109.5,0.0,0.1533195,,
110.5,0.0,0.1533195,,
111.5,0.5,0.240851,,
112.5,0.0,0.1533195,,
113.5,0.0,0.1533195,,
114.5,0.0,0.1533195,,
115.5,0.0,0.1533195,,
116.5,0.0,0.1533195,,
117.5,0.0,0.1533195,,
118.5,0.0,0.1533195,,
119.5,0.0,0.1533195,,
120.5,0.0,0.1533195,,
121.5,0.0,0.1533195,,
122.5,0.0,0.1533195,,
123.5,0.0,0.1533195,,
124.5,0.0,0.1533195,,
125.5,0.0,0.1533195,,
126.5,0.0,0.1533195,,
127.5,0.0,0.1533195,,
128.5,0.0,0.1533195,,
129.5,0.0,0.1533195,,
130.5,0.0,0.1533195,,
131.5,0.0,0.1533195,,
132.5,0.0,0.1533195,,
133.5,0.5,0.240851,,
134.5,0.0,0.1533195,,
135.5,0.0,0.1533195,,
136.5,0.0,0.1533195,,
137.5,0.0,0.1533195,,
138.5,0.0,0.1533195,,
139.5,0.0,0.1533195,,
140.5,0.0,0.1533195,,
141.5,0.0,0.1533195,,
142.5,0.0,0.1533195,,
143.5,0.0,0.1533195,,
144.5,0.0,0.1533195,,
145.5,0.0,0.1533195,,
146.5,0.0,0.1533195,,
147.5,0.0,0.1533195,,
148.5,0.0,0.1533195,,
149.5,0.5,0.240851,,
150.5,0.0,0.1533195,,
151.5,0.0,0.1533195,,
152.5,0.0,0.1533195,,
153.5,1.0,0.15331936282468267,,
154.5,0.0,0.1533195,,
155.5,0.0,0.1533195,,
156.5,0.0,0.1533195,,
157.5,0.5,0.240851,,
158.5,0.0,0.1533195,,
159.5,0.0,0.1533195,,
160.5,0.0,0.1533195,,
161.5,0.0,0.1533195,,
162.5,1.0,0.15331936282468267,,
163.5,0.5,0.240851,,
164.5,0.0,0.1533195,,
165.5,0.0,0.1533195,,
166.5,0.0,0.1533195,,
167.5,0.0,0.1533195,,
168.5,0.0,0.1533195,,
169.5,0.0,0.1533195,,
170.5,0.0,0.1533195,,
171.5,0.0,0.1533195,,
172.5,0.0,0.1533195,,
173.5,0.0,0.1533195,,
174.5,0.0,0.1533195,,
175.5,0.0,0.1533195,,
176.5,0.0,0.1533195,,
177.5,0.0,0.1533195,,
178.5,0.0,0.1533195,,
179.5,0.0,0.1533195,,
180.5,0.0,0.1533195,,
181.5,0.0,0.1533195,,
182.5,0.0,0.1533195,,
183.5,0.0,0.1533195,,
184.5,1.0,0.15331936282468267,,
185.5,0.5,0.240851,,
186.5,0.0,0.1533195,,
187.5,1.0,0.15331936282468267,,
188.5,0.5,0.240851,,
189.5,1.0,0.15331936282468267,,
190.5,0.0,0.1533195,,
191.5,1.0,0.15331936282468267,,
192.5,0.5,0.240851,,
193.5,0.0,0.1533195,,
194.5,0.0,0.1533195,,
195.5,1.0,0.15331936282468267,,
196.5,0.0,0.1533195,,
197.5,1.0,0.15331936282468267,,
198.5,0.5,0.240851,,
199.5,0.5,0.240851,,
200.5,0.0,0.1533195,,
201.5,0.0,0.1533195,,
202.5,0.0,0.1533195,,
203.5,0.0,0.1533195,,
204.5,0.0,0.1533195,,
205.5,0.5,0.240851,,
206.5,0.0,0.1533195,,
207.5,0.0,0.1533195,,
208.5,0.0,0.1533195,,
209.5,0.5,0.240851,,
210.5,0.0,0.1533195,,
211.5,0.0,0.1533195,,
212.5,0.0,0.1533195,,
213.5,0.0,0.1533195,,
214.5,0.0,0.1533195,,
215.5,0.0,0.1533195,,
216.5,0.0,0.1533195,,
217.5,0.0,0.1533195,,
218.5,0.0,0.1533195,,
219.5,0.0,0.1533195,,
220.5,0.0,0.1533195,,
221.5,0.0,0.1533195,,
222.5,0.5,0.240851,,
223.5,0.5,0.240851,,
224.5,0.0,0.1533195,,
225.5,0.5,0.240851,,
226.5,0.0,0.1533195,,
227.5,0.0,0.1533195,,
228.5,0.0,0.1533195,,
229.5,0.0,0.1533195,,
230.5,0.0,0.1533195,,
231.5,0.0,0.1533195,,
232.5,0.0,0.1533195,,
233.5,0.0,0.1533195,,
234.5,0.0,0.1533195,,
235.5,0.0,0.1533195,,
236.5,0.0,0.1533195,,
