Description R1	Best V hit	Best D hit	Best J hit
-2225897317370666850	IGHV3-30*00	IGHD3-10*00	IGHJ4*00
-1652481004348517923	IGHV3-33*00	IGHD3-10*00	IGHJ4*00
6516768812784993759	IGHV3-30*00	IGHD3-10*00	IGHJ4*00
7614644207810224277	IGHV5-51*00	IGHD3-10*00	IGHJ4*00
2846588947849591443	IGHV5-51*00	IGHD3-3*00	IGHJ4*00
-5566857456466462054	IGHV5-51*00	IGHD3-3*00	IGHJ4*00
-7675039061245067293	IGHV5-51*00	IGHD3-3*00	IGHJ4*00
-8208437419145291097	IGHV5-51*00	IGHD3-3*00	IGHJ4*00
1671976090256981880	IGHV5-51*00	IGHD3-3*00	IGHJ4*00
7177169190852685196	IGHV5-51*00	IGHD3-3*00	IGHJ4*00
-6919153375959317803	IGHV5-51*00	IGHD3-3*00	IGHJ3*00
-8090577780074530772	IGHV5-51*00	IGHD3-3*00	IGHJ5*00
4125510852459218826	IGHV1-3*00	IGHD3-10*00	IGHJ4*00
9110583200111064164	IGHV1-3*00	IGHD3-10*00	IGHJ4*00
-119041145078860129	IGHV1-3*00	IGHD3-10*00	IGHJ4*00
-5432994083613082971	IGHV1-3*00	IGHD3-10*00	IGHJ4*00
911591151818789900	IGHV1-3*00	IGHD3-10*00	IGHJ4*00
-5737124576269068558	IGHV1-3*00	IGHD3-10*00	IGHJ4*00
4523404550796075682	IGHV1-3*00	IGHD3-10*00	IGHJ4*00
701389993042112473	IGHV1-3*00	IGHD3-10*00	IGHJ4*00
-8660842485163395792	IGHV1-3*00	IGHD3-10*00	IGHJ4*00
-1670760515873762454	IGHV1-3*00	IGHD3-10*00	IGHJ4*00
-3013548633055962997	IGHV3-53*00	IGHD4-17*00	IGHJ6*00
-5279324669568367293	IGHV3-53*00	IGHD4-17*00	IGHJ6*00
-8195222302330224384	IGHV3-23*00	IGHD2-2*00	IGHJ2*00
1514426828181535663	IGHV3-23*00	IGHD2-2*00	IGHJ2*00
-920675734875278828	IGHV3-23*00	IGHD1-26*00	IGHJ4*00
-1254697976169653815	IGHV3-23*00	IGHD3-22*00	IGHJ4*00
-7374438794885749695	IGHV3-23*00	IGHD2-15*00	IGHJ5*00
-477014468141518590	IGHV3-23*00	IGHD4-23*00	IGHJ4*00
-25251811876149717	IGHV3-23*00	IGHD2-15*00	IGHJ2P*00
5573381557616593513	IGHV3-23*00	IGHD3-22*00	IGHJ4*00
-7218805088053306112	IGHV3-23*00	IGHD3-22*00	IGHJ4*00
-6539210156659340582	IGHV3-23*00	IGHD3-22*00	IGHJ4*00
