Best V hit	Best D hit	Best J hit
IGHV3-30*00	IGHD3-10*00	IGHJ4*00
IGHV3-33*00	IGHD3-10*00	IGHJ4*00
IGHV3-30*00	IGHD3-10*00	IGHJ4*00
IGHV5-51*00	IGHD3-10*00	IGHJ4*00
IGHV5-51*00	IGHD3-3*00	IGHJ4*00
IGHV5-51*00	IGHD3-3*00	IGHJ4*00
IGHV5-51*00	IGHD3-3*00	IGHJ4*00
IGHV5-51*00	IGHD3-3*00	IGHJ4*00
IGHV5-51*00	IGHD3-3*00	IGHJ4*00
IGHV5-51*00	IGHD3-3*00	IGHJ4*00
IGHV5-51*00	IGHD3-3*00	IGHJ4*00
IGHV5-51*00	IGHD3-3*00	IGHJ5*00
IGHV1-3*00	IGHD3-10*00	IGHJ4*00
IGHV1-3*00	IGHD3-10*00	IGHJ4*00
IGHV1-3*00	IGHD3-10*00	IGHJ4*00
IGHV1-3*00	IGHD3-10*00	IGHJ4*00
IGHV1-3*00	IGHD3-10*00	IGHJ4*00
IGHV1-3*00	IGHD3-10*00	IGHJ4*00
IGHV1-3*00	IGHD3-10*00	IGHJ4*00
IGHV1-3*00	IGHD3-10*00	IGHJ4*00
IGHV1-3*00	IGHD3-10*00	IGHJ4*00
IGHV1-3*00	IGHD3-10*00	IGHJ4*00
IGHV3-53*00	IGHD4-17*00	IGHJ6*00
IGHV3-53*00	IGHD4-17*00	IGHJ6*00
IGHV3-23*00	IGHD2-2*00	IGHJ2*00
IGHV3-23*00	IGHD2-2*00	IGHJ2*00
IGHV3-23*00	IGHD2-15*00	IGHJ4*00
IGHV3-23*00	IGHD2-15*00	IGHJ4*00
IGHV3-23*00	IGHD3-22*00	IGHJ4*00
IGHV3-23*00	IGHD2-15*00	IGHJ5*00
IGHV3-23*00	IGHD4-23*00	IGHJ4*00
IGHV3-23*00	IGHD2-15*00	IGHJ2P*00
IGHV3-23*00	IGHD3-22*00	IGHJ4*00
IGHV3-23*00	IGHD3-22*00	IGHJ2P*00
IGHV3-23*00	IGHD3-22*00	IGHJ4*00
IGHV3-23*00	IGHD3-22*00	IGHJ4*00
IGHV3-23*00	IGHD3-22*00	IGHJ4*00
IGHV3-23*00	IGHD3-22*00	IGHJ4*00
IGHV3-23*00	IGHD2-15*00	IGHJ4*00
IGHV3-23*00	IGHD2-15*00	IGHJ4*00
IGHV3-23*00	IGHD6-13*00	IGHJ4*00
IGHV1-69*00	TRBD1*00	IGHJ4*00
IGHV1-69*00		IGHJ5*00
IGHV1-69*00		IGHJ3*00
IGHV1-69*00	IGHD3-9*00	IGHJ5*00
IGHV3-23*00	IGHD6-13*00	IGHJ3*00
IGHV3-23*00	IGHD6-13*00	IGHJ3*00
IGHV3-23*00	IGHD6-13*00	IGHJ3*00
IGHV3-23*00	IGHD6-13*00	IGHJ3*00
IGHV3-23*00	IGHD6-13*00	IGHJ3*00
IGHV3-23*00	IGHD6-13*00	IGHJ3*00
IGHV3-23*00	IGHD6-13*00	IGHJ3*00
IGHV3-23*00	IGHD6-13*00	IGHJ3*00
IGHV3-23*00	IGHD6-13*00	IGHJ3*00
IGHV3-23*00	IGHD6-13*00	IGHJ3*00
IGHV3-23*00	IGHD6-13*00	IGHJ3*00
IGHV3-23*00	IGHD6-13*00	IGHJ3*00
IGHV3-23*00	IGHD6-13*00	IGHJ3*00
IGHV3-23*00	IGHD6-13*00	IGHJ3*00
IGHV3-23*00	IGHD6-13*00	IGHJ3*00
IGHV2-70*00	IGHD3-10*00	IGHJ3*00
IGHV2-70*00	IGHD3-10*00	IGHJ5*00
IGHV2-70*00	IGHD3-10*00	IGHJ5*00
IGHV2-70*00	IGHD3-10*00	IGHJ5*00
IGHV2-70*00	IGHD3-10*00	IGHJ4*00
IGHV2-70*00	IGHD3-10*00	IGHJ4*00
IGHV2-70*00	IGHD3-10*00	IGHJ5*00
IGHV2-70*00	IGHD3-10*00	IGHJ6*00
IGHV2-70*00	IGHD3-10*00	IGHJ4*00
IGHV2-70*00	IGHD3-3*00	IGHJ4*00
IGHV2-70*00	IGHD3-10*00	IGHJ5*00
IGHV2-70*00	IGHD5-18*00	IGHJ5*00
IGHV2-70*00	IGHD3-10*00	IGHJ5*00
IGHV2-70*00	IGHD3-10*00	IGHJ5*00
IGHV3-9*00	IGHD6-13*00	IGHJ5*00
IGHV3-9*00	IGHD6-13*00	IGHJ5*00
IGHV3-9*00	IGHD3-10*00	IGHJ5*00
IGHV3-9*00	IGHD6-13*00	IGHJ5*00
IGHV3-9*00	IGHD6-13*00	IGHJ5*00
IGHV3-9*00	IGHD5-18*00	IGHJ5*00
IGHV3-9*00	IGHD6-13*00	IGHJ5*00
IGHV3-9*00	IGHD6-13*00	IGHJ5*00
IGHV3-9*00	IGHD2-2*00	IGHJ5*00
IGHV3-9*00	IGHD1-1*00	IGHJ5*00
IGHV3-9*00	IGHD6-13*00	IGHJ5*00
IGHV3-9*00	IGHD6-13*00	IGHJ5*00
IGHV3-9*00	IGHD6-13*00	IGHJ5*00
IGHV3-9*00	IGHD6-13*00	IGHJ5*00
IGHV3-9*00	IGHD6-13*00	IGHJ5*00
IGHV3-9*00	IGHD6-13*00	IGHJ5*00
IGHV3-9*00	IGHD6-13*00	IGHJ5*00
IGHV3-9*00	IGHD6-13*00	IGHJ5*00
IGHV3-9*00	IGHD6-13*00	IGHJ5*00
