bin_low_edge,contents,binerror,xtitle,binlabel
-1.5,0.0,0.0,,
-0.5,0.2857142857142857,0.1505195,,
0.5,0.0,0.064157,,
1.5,0.0,0.064157,,
2.5,0.0,0.064157,,
3.5,0.14285714285714285,0.129277,,
4.5,0.2857142857142857,0.1505195,,
5.5,0.0,0.040518,,
6.5,0.23076923076923078,0.109069,,
7.5,0.0,0.037736,,
8.5,0.15384615384615385,0.0973185,,
9.5,0.07692307692307693,0.0803025,,
10.5,0.0,0.037736,,
11.5,0.14285714285714285,0.09178199999999999,,
12.5,0.07142857142857142,0.075498,,
13.5,0.0,0.0353115,,
14.5,0.07142857142857142,0.075498,,
15.5,0.2222222222222222,0.1277575,,
16.5,0.0,0.052021,,
17.5,0.0,0.098629,,
18.5,0.0,0.211325,,
19.5,0.0,0.211325,,
20.5,0.0,0.0,,
